澳门频道,#genre#
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳门莲花,http://nettvpro.live/hls/lotustv.php?zgangd
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳视资讯,http://61.244.22.5/ch5/info_ch5.live/index.m3u8
澳视资讯,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8?zgangd
澳视澳门,http://61.244.22.5/ch1/ch1.live/index.m3u8
澳视澳门,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8?zgangd
澳视澳门,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8?zgangd
澳门Macau,http://61.244.22.5/ch3/ch3.live/index.m3u8
澳视葡文,http://61.244.22.5/ch2/ch2.live/index.m3u8
澳视综艺,http://61.244.22.5/ch6/hd_ch6.live/index.m3u8
澳视综艺,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8?zgangd
澳视综艺,http://103.233.191.132:1935/ch6/hd_ch6.live/playlist.m3u8?zgangd
澳视综艺,http://103.233.191.133:1935/ch6/hd_ch6.live/playlist.m3u8
澳视体育,http://61.244.22.5/ch4/sport_ch4.live/index.m3u8
澳视体育,http://103.233.191.133:1935/ch4/sport_ch4.live/playlist.m3u8?zgangd
澳视体育,http://103.233.191.134:1935/ch4/sport_ch4.live/playlist.m3u8?zgangd
台湾频道,#genre#
华视,http://198.16.64.10:8278/ctshd_twn/playlist.m3u8?tid=MAFA1309481213094812&ct=19226&tsum=429f7c40691cdcc6c1fb108dbd11e002
台视,http://23.237.10.66:16334
台视,http://198.16.64.10:8278/ttv_taiwan/playlist.m3u8?tid=MDCD7498841774988417&ct=19226&tsum=205fa69ca9e6c04cfa0ed0b301647d1e
中天新聞,http://tv.redrainl.site:9500/live.m3u8?c=03
中天综合,http://23.237.10.66:16372
TVBS新闻HD,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS欢乐台,http://198.16.64.10:8278/tvbshuanle_twn/playlist.m3u8?tid=MA9A4111409641114096&ct=19225&tsum=600f3056bba6413dec3155efd19e2d20
民视新闻HD,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
中視新聞,http://tv.redrainl.site:9500/live.m3u8?c=02
台视新闻HD,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
东森洋片,http://120.84.96.66:808/hls/33/index.m3u8?blog.ntnas.top
东森电影,http://120.84.96.66:808/hls/32/index.m3u8?blog.ntnas.top
東森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
东森幼幼,http://50.7.220.74:8278/yoyo_twn/playlist.m3u8?tid=MEBE7340063173400631&ct=19225&tsum=e95304aa3743de8d4f23a23642d4d8a5
寰宇新聞,http://tv.redrainl.site:9500/live.m3u8?c=22
鏡新聞,http://tv.redrainl.site:9500/live.m3u8?c=28
華視新聞,http://stream.dsichannel.com:80/hls/cts-news.m3u8
蕃薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
華語電視,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
華語電視,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
龙翔时代,http://120.84.96.66:808/hls/35/index.m3u8?blog.ntnas.top
HBO,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
中国频道,#genre#
CCTV7[1920*1080][1920*1080][1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225624/index.m3u8
超级电影[1920*1080][1920*1080][1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225623/index.m3u8
超级电视剧[1920*1080][1920*1080][1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225625/index.m3u8
CCTV10[1920*1080][1920*1080][1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV9[1920*1080][1920*1080][1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225626/index.m3u8
